gender,age,school_type,distance_from_home,parental_education,family_support,internet_access,study_hours,attendance,absences,previous_grades,sleep_hours,extracurricular,tutoring,motivation_level,performance
Male,18,Private,Near,None,High,Yes,4.7,69.4,8,63.5,4.2,Yes,No,High,Medium
Female,17,Private,Moderate,High School,Medium,Yes,6.0,70.7,3,53.0,7.0,Yes,No,Low,Low
Female,17,Public,Far,College,High,Yes,4.3,55.7,5,67.0,6.8,Yes,Yes,High,Medium
Female,17,Public,Near,College,Medium,Yes,4.2,82.0,10,71.1,9.7,Yes,Yes,Medium,Medium
Male,18,Public,Far,High School,Medium,Yes,8.9,78.1,0,50.0,4.8,Yes,No,High,Medium
Male,16,Private,Near,High School,Medium,No,6.9,65.7,0,47.9,5.9,No,Yes,High,Medium
Male,18,Private,Moderate,College,Medium,Yes,3.5,82.3,12,74.7,6.8,Yes,No,Low,Medium
Female,16,Public,Far,None,Medium,No,6.1,92.3,8,61.9,6.8,Yes,Yes,Low,Medium
Female,18,Private,Near,High School,Medium,Yes,5.2,77.4,8,65.5,6.3,Yes,Yes,Medium,Medium
Female,18,Public,Near,High School,Medium,Yes,5.8,83.2,2,62.6,6.9,No,Yes,Medium,Medium
Male,16,Public,Near,,Medium,Yes,5.3,83.3,9,90.8,5.5,Yes,No,Low,Medium
Female,17,Public,Moderate,College,Medium,Yes,7.4,65.5,7,86.9,7.4,Yes,No,Low,Medium
Female,16,Public,Moderate,High School,Low,No,5.7,100.0,0,49.4,4.2,Yes,No,Medium,Medium
Male,15,Public,Moderate,High School,Low,Yes,4.9,74.3,12,60.0,7.0,No,Yes,Low,Low
Male,15,Public,Near,College,Medium,No,7.1,87.9,7,80.8,6.3,No,No,High,High
Male,16,Public,Near,Postgraduate,Low,No,5.5,89.2,4,77.0,8.2,Yes,Yes,High,High
Male,18,Private,Near,High School,Low,Yes,5.2,78.3,4,67.4,9.1,Yes,Yes,High,Medium
Female,15,Public,Near,None,High,No,5.6,87.3,0,50.9,6.6,Yes,Yes,Low,Medium
Male,15,Public,Moderate,High School,Low,Yes,4.8,82.9,8,57.8,8.7,Yes,Yes,Low,Medium
Male,18,Private,Far,College,High,No,5.0,63.0,7,60.2,6.6,No,Yes,Medium,Medium
Female,18,Public,Moderate,College,Medium,Yes,3.8,76.0,5,72.2,5.8,Yes,Yes,High,Medium
Male,17,Public,Near,College,High,Yes,3.5,72.6,11,93.6,9.1,No,Yes,Medium,Medium
Male,18,Private,Far,Postgraduate,Medium,No,3.0,74.5,0,57.7,7.6,Yes,No,Medium,Medium
Male,16,Public,Moderate,College,Medium,Yes,2.2,64.4,4,52.6,7.0,No,Yes,Low,Low
Male,16,Public,Far,College,Medium,Yes,3.2,93.5,3,66.4,7.8,Yes,No,Medium,Medium
Female,17,Public,Moderate,College,Medium,Yes,4.7,99.2,5,83.5,7.3,Yes,No,Medium,Medium
Male,15,Private,Near,None,Medium,Yes,5.2,91.7,6,46.3,6.9,No,Yes,Low,Medium
Male,15,Public,Near,Postgraduate,Low,Yes,4.5,95.2,8,89.8,5.4,Yes,No,Medium,Medium
Female,18,Private,Moderate,High School,High,No,0.3,75.9,5,65.4,6.7,No,No,Medium,Low
Male,16,Public,Near,High School,Medium,Yes,8.1,72.4,2,57.0,7.7,No,Yes,Medium,Medium
Female,15,Public,Near,College,Medium,Yes,7.2,70.7,13,44.0,6.9,Yes,No,Medium,Medium
Male,17,Public,Moderate,High School,High,Yes,5.9,87.7,16,78.6,8.1,No,No,High,Medium
Male,17,Private,Moderate,College,Medium,Yes,8.8,82.7,7,65.4,7.5,Yes,No,Medium,Medium
Female,16,Public,Moderate,College,High,Yes,3.0,79.1,3,70.6,5.9,Yes,No,Medium,Medium
Female,17,Public,Near,High School,Medium,No,8.8,95.5,12,54.5,5.4,No,Yes,High,High
Female,17,Public,Near,College,High,No,3.1,84.9,0,63.2,6.8,No,Yes,High,Medium
Male,16,Public,Moderate,High School,Low,Yes,5.5,69.9,5,60.7,6.4,Yes,Yes,Medium,Medium
Male,18,Private,Far,High School,High,Yes,2.5,71.8,3,66.5,7.4,No,No,Low,Medium
Female,18,Public,Moderate,College,High,No,5.0,88.2,1,58.0,6.1,No,No,High,Medium
